时间,2015-10-28 19:49:14
进程数,74,,CPU使用率,43%,,物理内存,68%,5542 MB/8144 MB

进程名称,进程ID,CPU占用率,内存占用
smss.exe,320,0%,488 KB
csrss.exe,464,0%,1976 KB
wininit.exe,532,0%,1408 KB
csrss.exe,560,0%,2908 KB
services.exe,596,0%,5496 KB
lsass.exe,616,0%,6916 KB
lsm.exe,624,0%,2252 KB
winlogon.exe,680,0%,2808 KB
svchost.exe,768,0%,3848 KB
svchost.exe,844,0%,5292 KB
atiesrxx.exe,912,0%,1304 KB
svchost.exe,972,0%,11592 KB
svchost.exe,128,0%,194480 KB
svchost.exe,368,0%,22916 KB
svchost.exe,716,0%,21812 KB
pcmastersvc.exe,1064,0%,1060 KB
svchost.exe,1144,0%,13196 KB
atieclxx.exe,1360,0%,2384 KB
spoolsv.exe,1416,0%,5344 KB
svchost.exe,1496,0%,13452 KB
AdskScSrv.exe,1640,0%,976 KB
DhMachineSvc.exe,1684,0%,3584 KB
DhPluginMgr.exe,1800,0%,4412 KB
raysat_3dsMax2009_32server.exe,1848,0%,1000 KB
raysat_3dsMax2009_64server.exe,1868,0%,1004 KB
pcas.exe,1908,0%,2288 KB
QQProtect.exe,1960,0%,9792 KB
secbizsrv.exe,2004,0%,5192 KB
sqlwriter.exe,1044,0%,1856 KB
svchost.exe,1116,0%,1740 KB
TBSecSvc.exe,1240,0%,7048 KB
svchost.exe,2328,0%,8052 KB
svchost.exe,2800,0%,2288 KB
taskhost.exe,3176,0%,7276 KB
dwm.exe,3276,0%,20536 KB
explorer.exe,3308,5%,67356 KB
aliwssv.exe,3472,0%,1796 KB
conhost.exe,3484,0%,1340 KB
TSVNCache.exe,3668,0%,5816 KB
KKV.exe,3720,0%,16372 KB
SearchIndexer.exe,3416,0%,39744 KB
SogouCloud.exe,3232,0%,12384 KB
TaobaoProtect.exe,4368,0%,15336 KB
svchost.exe,3736,0%,2560 KB
UE4Editor.exe,5884,0%,455896 KB
OSPPSVC.EXE,5812,0%,2888 KB
EpicGamesLauncher.exe,5284,1%,967576 KB
UnrealCEFSubProcess.exe,7896,0%,37272 KB
UnrealCEFSubProcess.exe,7700,0%,16544 KB
UnrealCEFSubProcess.exe,7416,0%,45952 KB
RTX.exe,3140,0%,75972 KB
SearchProtocolHost.exe,5972,0%,2740 KB
explorer.exe,8716,0%,34912 KB
explorer.exe,6236,0%,29688 KB
chrome.exe,6592,0%,84292 KB
chrome.exe,7412,0%,41888 KB
chrome.exe,1388,0%,20880 KB
chrome.exe,5828,0%,13160 KB
devenv.exe,5176,0%,108624 KB
devenv.exe,7184,0%,174900 KB
chrome.exe,8484,0%,88584 KB
chrome.exe,5352,0%,37068 KB
chrome.exe,8320,0%,153720 KB
vcpkgsrv.exe,2640,0%,5944 KB
wwbizsrv.exe,1512,0%,5156 KB
devenv.exe,3224,33%,0 KB
vcpkgsrv.exe,8608,0%,59656 KB
SearchFilterHost.exe,9200,0%,3308 KB
vcpkgsrv.exe,5876,0%,29788 KB
8. GetSystemProcessList.exe,4796,0%,1932 KB
conhost.exe,8996,0%,5204 KB
